date,line_name,product_type,production_ton,qualified_ton,electricity_kwh,gas_m3,total_cost,carbon_emission_ton
2024-01-01,1号高炉,铁水,3200,3150,960000,480000,2560000,5760
2024-01-02,1号高炉,铁水,3180,3120,954000,477000,2544000,5724
2024-01-03,2号转炉,钢水,2800,2750,840000,420000,2240000,5040
2024-01-04,2号转炉,钢水,2850,2800,855000,427500,2280000,5130
2024-01-05,连铸1号线,板坯,2600,2550,780000,390000,2080000,4680
2024-01-06,连铸1号线,板坯,2650,2600,795000,397500,2120000,4770
2024-01-07,热轧1号线,热轧板卷,2500,2450,750000,375000,2000000,4500
2024-01-08,热轧1号线,热轧板卷,2520,2480,756000,378000,2016000,4536
2024-01-09,1号高炉,铁水,3250,3200,975000,487500,2600000,5850
2024-01-10,2号转炉,钢水,2820,2770,846000,423000,2256000,5076
